Individual,one_minus_r2,R2,Fitness,Generation,EvalIndex,Status
"[103.78346894926091, 59.42260559195757, 0.31869735677171784]",999999.999,-inf,999999.999,0,0,ABAQUS_FAIL(code=0)
"[146.24193796181962, 134.31095188332233, 0.9421351135049827]",999999.999,-inf,999999.999,0,1,ABAQUS_FAIL(code=0)
"[106.624253166118, 59.42260559195757, 0.298209941494279]",999999.999,-inf,999999.999,0,2,ABAQUS_FAIL(code=0)
"[158.8191663337949, 134.31095188332233, 0.9538301490921082]",999999.999,-inf,999999.999,0,3,ABAQUS_FAIL(code=0)
"[106.624253166118, 60.98345731601005, 0.298209941494279]",1.4881103360576307,-0.48811033605763066,1.4881103360576307,1,4,OK
"[103.78346894926091, 59.42260559195757, 0.31869735677171784]",999999.999,-inf,999999.999,1,5,CACHE
