Individual,one_minus_r2,R2,Fitness,Generation,EvalIndex,Status
"[139.25853533539356, 64.50322977509249, 0.18301965557242772]",0.3843665149169735,0.6156334850830265,0.3843665149169735,2,81,OK
"[126.54649063734487, 57.13201285700244, 0.4572168679775293]",0.5889902192827382,0.4110097807172618,0.5889902192827382,2,82,OK
"[123.00051881564455, 52.434294682988835, 0.6995512205653767]",0.6412705713942656,0.3587294286057344,0.6412705713942656,2,83,OK
"[243.52534336081564, 121.86838496162635, 0.8103002218465458]",0.6329333377511214,0.36706666224887863,0.6329333377511214,2,84,OK
"[239.29975106380428, 114.46816178611276, 0.8662975080406761]",0.6000405118108607,0.3999594881891393,0.6000405118108607,2,85,OK
"[106.6158292901359, 36.97248215521269, 0.7146281458911043]",0.9781344722494508,0.021865527750549174,0.9781344722494508,2,86,OK
"[166.79805462128672, 106.29689470717615, 0.3053013662495034]",0.10141439768638949,0.8985856023136105,0.10141439768638949,2,87,OK
"[198.57480157798219, 61.20883846335086, 0.3053013662495034]",0.019106414934997207,0.9808935850650028,0.019106414934997207,2,88,OK
"[83.23986023288029, 74.91587420959226, 0.9849000189239678]",999999.999,-inf,999999.999,3,89,ABAQUS_FAIL(code=0)
"[202.0286405442099, 30.77460574823224, 0.20898420338896848]",0.0878005986856023,0.9121994013143977,0.0878005986856023,3,90,OK
"[95.52242143801855, 85.98276421016494, 0.582284499756191]",999999.999,-inf,999999.999,3,91,ABAQUS_FAIL(code=0)
"[243.1762033829035, 59.623288228597914, 0.6778930427443133]",0.3418839577718864,0.6581160422281136,0.3418839577718864,3,92,OK
"[198.48742751513055, 61.20883846335086, 0.3025373323333826]",0.019498745694062625,0.9805012543059374,0.019498745694062625,3,93,OK
"[197.4607119567761, 107.5154166384666, 0.3053013662495034]",0.02245086106203309,0.9775491389379669,0.02245086106203309,3,94,OK
"[184.11595561691263, 58.347468661907754, 0.3844974767335956]",0.0235876004558202,0.9764123995441798,0.0235876004558202,3,95,OK
"[205.77100909578135, 26.439948627721506, 0.6018459848490815]",0.04208248198177966,0.9579175180182203,0.04208248198177966,3,96,OK
"[188.40787806593963, 35.05100611377491, 0.8584688826796476]",0.022295164771782394,0.9777048352282176,0.022295164771782394,3,97,OK
"[174.91669301718582, 106.17660371393471, 0.09580829388337103]",0.06913354157186258,0.9308664584281374,0.06913354157186258,3,98,OK
"[165.84657249788836, 101.53995350690069, 0.3053013662495034]",0.10910556974544272,0.8908944302545573,0.10910556974544272,3,99,OK
"[249.81663187327695, 48.531579801464744, 0.4229262703924114]",0.39419915099423175,0.6058008490057682,0.39419915099423175,3,100,OK
"[160.97923252958645, 112.06019609951483, 0.021969301171968353]",0.35427972385499795,0.645720276145002,0.35427972385499795,3,101,OK
"[213.65377642356881, 58.03679778699305, 0.8498500905176044]",0.08517566514532393,0.9148243348546761,0.08517566514532393,3,102,OK
"[229.8093034032563, 96.88236658714678, 0.8863906290510289]",0.28554898955203034,0.7144510104479697,0.28554898955203034,3,103,OK
"[248.2253019461962, 94.81492623281066, 0.6099651190309385]",0.41455870362190606,0.585441296378094,0.41455870362190606,3,104,OK
"[238.5734085424859, 78.55623875355224, 0.9295742032292719]",0.31634376351594296,0.683656236484057,0.31634376351594296,3,105,OK
"[122.68920683036771, 56.98662100133785, 0.2689843915915353]",0.6545483861753562,0.34545161382464384,0.6545483861753562,3,106,OK
"[126.36251211816459, 59.385179438566865, 0.45768249622116386]",0.5945446797416475,0.4054553202583525,0.5945446797416475,3,107,OK
"[199.94190314654725, 106.29689470717615, 0.3053013662495034]",0.025835469608533557,0.9741645303914664,0.025835469608533557,3,108,CACHE
"[202.46402992785343, 106.29689470717615, 0.31009975513702]",0.031850138279599816,0.9681498617204002,0.031850138279599816,3,109,OK
"[163.41486983822233, 86.13383048969835, 0.4953560176571951]",0.12856695889970426,0.8714330411002957,0.12856695889970426,4,110,OK
"[195.73145939230528, 92.81334303916886, 0.01358606953703112]",0.7818001599322267,0.21819984006777327,0.7818001599322267,4,111,OK
"[122.23373628509866, 80.68461572949661, 0.22255852644611582]",0.6656406333747549,0.3343593666252451,0.6656406333747549,4,112,OK
"[203.16716307779882, 112.13101796587148, 0.73989008978399]",0.21118624986510404,0.788813750134896,0.21118624986510404,4,113,OK
"[198.48742751513055, 61.20883846335086, 0.3244851662425268]",0.017999472443963938,0.9820005275560361,0.017999472443963938,4,114,OK
"[188.40787806593963, 35.05100611377491, 0.8364925723434802]",0.02317678403923773,0.9768232159607623,0.02317678403923773,4,115,OK
"[197.31622001184675, 108.72865465862296, 0.38586021446151775]",0.023393140709533577,0.9766068592904664,0.023393140709533577,4,116,OK
"[212.32076852172256, 65.08081127342703, 0.30393862852158154]",0.05824315676806424,0.9417568432319358,0.05824315676806424,4,117,OK
"[199.94190314654725, 106.29689470717615, 0.30522654864296245]",0.025805626358027967,0.974194373641972,0.025805626358027967,4,118,OK
"[200.81616334194217, 106.29689470717615, 0.3101745727435609]",0.028513854436554187,0.9714861455634458,0.028513854436554187,4,119,OK
"[205.77100909578135, 26.55195036074845, 0.60123744536155]",0.04197531534711929,0.9580246846528807,0.04197531534711929,4,120,OK
"[209.6558983235731, 100.36005280749973, 0.4960933819191705]",0.06187121358158787,0.9381287864184121,0.06187121358158787,4,121,OK
"[162.55399055166225, 106.17660371393471, 0.09580829388337103]",0.13766602865819522,0.8623339713418048,0.13766602865819522,4,122,OK
"[205.82116777390382, 30.77460574823224, 0.18572715057256203]",0.12342998900179691,0.8765700109982031,0.12342998900179691,4,123,OK
"[229.8165748843359, 77.95966012960868, 0.8869027264661001]",0.22079820746728074,0.7792017925327193,0.22079820746728074,4,124,OK
