Individual,one_minus_r2,R2,Fitness,Generation,EvalIndex,Status
"[140.4921851162493, 138.93741742578152, 0.6166229689552386]",999999.999,-inf,999999.999,0,15,ABAQUS_FAIL(code=0)
"[134.20252333877215, 65.8560539664773, 0.6634918021323977]",1.8137438662194958,-0.8137438662194958,1.8137438662194958,0,16,OK
"[76.74108544017663, 68.81715495576978, 0.8082240063653707]",999999.999,-inf,999999.999,0,17,ABAQUS_FAIL(code=0)
"[61.62990628214059, 50.40581073375664, 0.0954725125291661]",8.837160700742023,-7.837160700742023,8.837160700742023,0,18,OK
"[95.37568349763455, 85.83811514787111, 0.3430643824593257]",999999.999,-inf,999999.999,0,19,ABAQUS_FAIL(code=0)
"[128.81535031088964, 115.93381527980068, 0.484029274306812]",999999.999,-inf,999999.999,0,20,ABAQUS_FAIL(code=0)
"[69.5971997583537, 62.63747978251833, 0.6391656980022871]",999999.999,-inf,999999.999,0,21,ABAQUS_FAIL(code=0)
"[179.22072064949415, 79.30299566293957, 0.20884812324001217]",0.3717978811325997,0.6282021188674003,0.3717978811325997,0,22,OK
"[80.66903712661919, 72.60213341395728, 0.12075258939862576]",999999.999,-inf,999999.999,0,23,ABAQUS_FAIL(code=0)
"[151.726142308851, 32.92641152826122, 0.1608698361251624]",1.0965552644960446,-0.09655526449604457,1.0965552644960446,0,24,OK
"[118.53388929134098, 112.60719482677393, 0.14981222872230104]",999999.999,-inf,999999.999,0,25,ABAQUS_FAIL(code=0)
"[115.7173279429957, 44.16552094392775, 0.8697322009997747]",2.9978311185828534,-1.9978311185828534,2.9978311185828534,0,26,OK
"[87.79124746128898, 83.40168508822453, 0.9399213460987886]",999999.999,-inf,999999.999,0,27,ABAQUS_FAIL(code=0)
"[175.33834401338765, 97.3107407015082, 0.7179033859534534]",0.6552529704957835,0.34474702950421654,0.6552529704957835,0,28,OK
"[182.4138142137808, 79.82498166766224, 0.4700615254929619]",0.46241271146001106,0.5375872885399889,0.46241271146001106,0,29,OK
"[162.2917398904427, 111.42328437688367, 0.986576857697417]",999999.999,-inf,999999.999,0,30,ABAQUS_FAIL(code=0)
"[196.63719648967037, 29.89140379671619, 0.24900141256460945]",0.7507156339737285,0.24928436602627146,0.7507156339737285,0,31,OK
"[104.00004539139186, 77.4526306551451, 0.3915359170917137]",999999.999,-inf,999999.999,0,32,ABAQUS_FAIL(code=0)
"[71.17783710506906, 62.496748465835715, 0.32147885647021524]",999999.999,-inf,999999.999,0,33,ABAQUS_FAIL(code=0)
"[52.50993067566309, 49.884434141879936, 0.04599435699210112]",9.781887637602768,-8.781887637602768,9.781887637602768,0,34,OK
"[111.21310603713493, 45.86983744202735, 0.761516821322861]",3.592376741586768,-2.592376741586768,3.592376741586768,0,35,OK
"[165.37443049826297, 29.258331916523588, 0.6156952334686896]",0.5413083942028061,0.4586916057971939,0.5413083942028061,0,36,OK
"[191.78434481941332, 56.72738188936536, 0.37687123953055857]",0.45670238093136883,0.5432976190686312,0.45670238093136883,0,37,OK
"[139.28760321877354, 132.32322305783487, 0.620872542843264]",999999.999,-inf,999999.999,0,38,ABAQUS_FAIL(code=0)
"[84.38283460238364, 66.98352210217811, 0.5798883921978327]",999999.999,-inf,999999.999,0,39,ABAQUS_FAIL(code=0)
"[134.20252333877215, 65.8560539664773, 0.6634918021323977]",1.8137438662194958,-0.8137438662194958,1.8137438662194958,0,40,CACHE
"[68.46501368711017, 48.64567936169223, 0.8082240063653707]",999999.999,-inf,999999.999,0,41,ABAQUS_FAIL(code=0)
"[61.62990628214059, 50.40581073375664, 0.3530007468732529]",999999.999,-inf,999999.999,0,42,ABAQUS_FAIL(code=0)
"[95.37568349763455, 85.83811514787111, 0.08566572623172974]",5.47966248470703,-4.47966248470703,5.47966248470703,0,43,OK
"[57.49529888613343, 51.74576899752009, 0.594898106209327]",999999.999,-inf,999999.999,1,44,ABAQUS_FAIL(code=0)
"[153.7718709094559, 64.14859807164122, 0.8396988918372387]",1.018534440795252,-0.018534440795251905,1.018534440795252,1,45,OK
"[125.7707795287192, 26.55179315181871, 0.04162906833918606]",5.468450905948891,-4.468450905948891,5.468450905948891,1,46,OK
"[185.9043205046186, 144.1813607222722, 0.957745606733076]",999999.999,-inf,999999.999,1,47,ABAQUS_FAIL(code=0)
"[179.07616811578671, 77.1534356610026, 0.2120227561577094]",0.3724126403980119,0.6275873596019881,0.3724126403980119,1,48,OK
"[192.18524150332962, 51.24473160681535, 0.42178740085414357]",0.4367242473493792,0.5632757526506208,0.4367242473493792,1,49,OK
"[179.33534221240302, 74.33206728317604, 0.5788496823199765]",0.4897443952089312,0.5102556047910688,0.4897443952089312,1,50,OK
"[167.29038105149468, 35.047442402305045, 0.6367911394942125]",0.5442738931482193,0.4557261068517807,0.5442738931482193,1,51,OK
"[175.33834401338765, 106.25317442055513, 0.7262391184265733]",999999.999,-inf,999999.999,1,52,ABAQUS_FAIL(code=0)
"[197.51508219256283, 26.059280600287423, 0.24067344634659826]",0.8033323858161964,0.19666761418380363,0.8033323858161964,1,53,OK
"[151.726142308851, 32.92641152826122, 0.1723293340027774]",1.062420181965976,-0.062420181965975985,1.062420181965976,1,54,OK
"[134.20252333877215, 65.8560539664773, 0.6521151662440878]",1.8196614072846005,-0.8196614072846005,1.8196614072846005,1,55,OK
"[115.58223186478217, 46.09567973199734, 0.8697322009997747]",2.868803324429653,-1.8688033244296531,2.868803324429653,1,56,OK
"[116.50051216779931, 43.939678653957785, 0.761516821322861]",3.2939185928392813,-2.2939185928392813,3.2939185928392813,1,57,OK
"[92.56105406170374, 85.83811514787111, 0.08566572623172974]",999999.999,-inf,999999.999,1,58,ABAQUS_FAIL(code=0)
